id,customer_id,channel_id,score,comment,responded_at_date,responded_at_time
38,952,1,5,Podría mejorar el empaque,2024-08-31,06:49:31
39,128,2,3,Entrega rápida y producto excelente,2024-12-29,11:45:16
40,342,2,8,Tardó un poco más de lo esperado,2025-07-02,18:54:21
41,19,2,3,Podría mejorar el empaque,2024-05-21,01:36:06
42,189,1,8,Muy conforme con la calidad,2024-07-22,03:55:21
43,797,1,4,Todo perfecto,2025-09-07,18:46:17
44,1004,2,8,Entrega rápida y producto excelente,2024-12-11,16:56:35
45,426,2,9,Todo perfecto,2025-03-30,04:35:06
46,1026,1,8,Muy conforme con la calidad,2025-08-13,00:52:13
47,812,2,7,,2025-04-19,22:10:36
48,994,1,10,Entrega rápida y producto excelente,2024-03-13,21:25:13
49,1171,2,10,,2025-07-23,12:41:39
50,1207,2,2,Podría mejorar el empaque,2025-03-26,22:23:24
51,1467,1,8,Todo perfecto,2024-11-18,16:03:56
52,1484,2,8,Muy conforme con la calidad,2024-06-06,12:49:26
53,815,1,9,Atención muy buena,2024-05-23,01:17:13
54,500,1,9,Todo perfecto,2024-07-05,10:13:55
55,1048,2,10,,2024-12-16,02:55:03
56,19,1,7,Entrega rápida y producto excelente,2024-04-14,19:57:51
57,804,2,7,Podría mejorar el empaque,2024-10-05,09:06:36
58,500,2,9,Entrega rápida y producto excelente,2024-10-23,07:11:59
59,1179,2,7,Podría mejorar el empaque,2025-06-18,16:46:05
60,902,2,9,Entrega rápida y producto excelente,2025-04-05,16:44:09
61,548,1,6,Atención muy buena,2024-03-02,17:49:39
62,1335,1,9,Volvería a comprar,2024-01-15,01:01:50
63,903,1,10,,2024-07-24,20:38:24
64,807,1,8,Todo perfecto,2025-04-26,21:04:24
65,43,2,7,Tardó un poco más de lo esperado,2025-03-28,04:27:32
66,1189,2,8,Todo perfecto,2025-04-30,19:36:36
67,554,1,7,Entrega rápida y producto excelente,2024-06-30,01:24:03
68,1411,1,9,Podría mejorar el empaque,2025-01-25,05:47:13
69,990,1,2,Podría mejorar el empaque,2024-02-18,03:58:07
70,581,2,8,Entrega rápida y producto excelente,2024-04-30,08:18:05
71,1214,2,2,Muy conforme con la calidad,2025-06-03,03:16:28
72,1182,1,8,,2025-06-04,13:38:56
73,56,2,9,Muy conforme con la calidad,2024-10-15,02:07:22
74,1443,1,9,Muy conforme con la calidad,2024-08-09,20:40:50
75,822,1,9,Podría mejorar el empaque,2024-09-24,19:46:26
76,18,1,7,Atención muy buena,2025-07-27,10:40:20
77,436,1,8,Podría mejorar el empaque,2024-12-12,16:09:46
78,558,2,9,Volvería a comprar,2024-08-15,02:57:02
79,1202,2,9,Todo perfecto,2025-04-26,08:56:16
80,1412,2,0,Podría mejorar el empaque,2024-10-06,13:55:55
81,1336,2,6,Tardó un poco más de lo esperado,2025-03-02,11:16:01
82,1336,1,7,Muy conforme con la calidad,2025-09-16,15:58:29
83,1224,2,10,,2024-12-09,15:30:01
84,859,1,9,Atención muy buena,2024-07-28,23:10:32
85,818,1,10,Volvería a comprar,2024-01-28,01:51:31
86,816,2,6,Entrega rápida y producto excelente,2024-10-26,15:24:03
87,653,1,9,Muy conforme con la calidad,2024-10-16,16:02:50
88,1056,1,8,Tardó un poco más de lo esperado,2024-12-14,22:25:30
89,1037,1,7,Entrega rápida y producto excelente,2024-02-05,01:27:21
90,959,2,8,Podría mejorar el empaque,2024-12-28,05:03:44
91,1406,1,6,Atención muy buena,2024-12-28,08:55:01
92,1296,1,9,Entrega rápida y producto excelente,2025-07-02,05:34:01
93,629,1,5,Atención muy buena,2025-08-15,08:13:29
94,439,2,4,Tardó un poco más de lo esperado,2024-03-06,17:38:20
95,1423,1,8,Todo perfecto,2025-09-01,07:05:10
96,1336,2,8,Podría mejorar el empaque,2024-05-29,18:52:17
97,1453,2,6,,2025-08-24,07:59:57
98,722,1,8,Podría mejorar el empaque,2024-08-07,05:28:56
99,616,1,10,Volvería a comprar,2024-08-08,11:26:29
100,1104,1,10,Todo perfecto,2024-08-15,19:44:46
101,1004,1,4,Tardó un poco más de lo esperado,2024-10-17,21:13:26
102,304,2,9,Podría mejorar el empaque,2024-04-08,15:38:45
103,114,2,10,Atención muy buena,2024-01-14,03:49:59
104,248,2,9,Entrega rápida y producto excelente,2024-10-08,07:56:45
105,208,1,5,Podría mejorar el empaque,2024-05-18,10:16:29
106,445,1,10,Tardó un poco más de lo esperado,2024-01-20,05:58:36
107,1304,2,10,Volvería a comprar,2024-02-14,08:22:10
108,1493,1,7,Muy conforme con la calidad,2024-08-29,09:09:29
109,1123,1,8,Entrega rápida y producto excelente,2024-08-22,13:36:21
110,174,2,5,Podría mejorar el empaque,2025-07-24,22:30:44
111,825,1,8,Podría mejorar el empaque,2025-08-14,09:41:17
112,1120,2,4,Todo perfecto,2025-06-15,02:46:10
113,1101,1,3,Atención muy buena,2024-01-12,20:11:48
114,659,2,7,Tardó un poco más de lo esperado,2024-02-10,11:28:56
115,1379,1,7,Tardó un poco más de lo esperado,2024-01-23,11:07:47
116,550,2,9,Volvería a comprar,2025-09-20,01:42:57
117,1177,1,7,Todo perfecto,2024-03-14,07:03:19
118,1149,1,9,Todo perfecto,2025-06-07,21:12:25
119,236,1,9,Volvería a comprar,2025-06-02,05:22:07
120,226,1,9,Volvería a comprar,2025-02-03,08:27:37
121,850,2,6,Entrega rápida y producto excelente,2025-02-10,18:37:18
122,599,1,8,Volvería a comprar,2024-10-19,20:28:14
123,1230,2,9,Entrega rápida y producto excelente,2025-08-17,14:30:34
124,1177,1,7,Volvería a comprar,2025-03-10,16:20:54
125,728,1,9,Todo perfecto,2025-01-19,15:18:51
126,268,2,7,Podría mejorar el empaque,2025-01-25,18:25:48
127,980,2,8,Atención muy buena,2024-10-23,13:31:00
128,902,2,5,Muy conforme con la calidad,2024-02-02,03:24:41
129,800,2,4,Podría mejorar el empaque,2024-04-06,20:41:00
130,1447,1,10,Podría mejorar el empaque,2025-04-21,06:04:43
131,130,1,7,Entrega rápida y producto excelente,2025-02-22,21:56:23
132,1176,2,9,Podría mejorar el empaque,2025-06-01,13:10:21
133,771,2,8,Entrega rápida y producto excelente,2025-07-31,23:17:20
134,158,1,0,Atención muy buena,2024-12-05,19:34:31
135,811,1,1,,2025-06-12,19:46:53
136,1369,1,8,Podría mejorar el empaque,2024-10-04,04:24:07
137,131,2,8,Atención muy buena,2025-01-07,18:36:27
138,69,2,9,,2024-07-14,11:53:39
139,395,1,9,Muy conforme con la calidad,2024-07-27,08:37:44
140,1106,2,6,Entrega rápida y producto excelente,2025-03-06,00:15:24
141,4,1,0,Atención muy buena,2024-08-16,07:39:35
142,292,1,7,,2025-07-16,23:23:34
143,1467,1,5,Entrega rápida y producto excelente,2025-01-24,09:56:23
144,317,1,1,Todo perfecto,2024-09-08,07:10:51
145,1374,2,10,Todo perfecto,2025-07-05,03:12:50
146,607,1,6,,2024-02-23,15:36:46
147,661,1,8,,2025-05-20,10:57:59
148,315,1,7,,2024-05-30,09:01:29
149,522,2,0,Podría mejorar el empaque,2024-10-02,23:54:48
150,697,1,2,Entrega rápida y producto excelente,2024-10-16,22:50:22
151,1351,1,5,Todo perfecto,2025-05-26,09:53:04
152,1209,2,9,Tardó un poco más de lo esperado,2025-03-11,06:28:35
153,93,1,8,Tardó un poco más de lo esperado,2024-09-27,01:34:02
154,8,2,8,,2025-07-07,20:57:30
155,1487,1,8,Todo perfecto,2025-02-08,14:01:29
156,501,1,9,,2025-06-04,22:40:43
157,949,1,8,,2025-07-05,11:58:50
158,745,1,10,Atención muy buena,2025-01-14,13:16:12
159,58,2,8,Atención muy buena,2025-09-16,11:08:21
160,1226,1,9,Muy conforme con la calidad,2025-05-07,07:34:03
161,952,2,8,Podría mejorar el empaque,2024-03-31,02:48:46
162,1424,1,7,Podría mejorar el empaque,2025-07-18,01:30:02
163,146,1,8,Volvería a comprar,2025-09-21,13:35:48
164,831,1,3,Todo perfecto,2025-03-01,17:55:25
165,991,1,0,Tardó un poco más de lo esperado,2025-08-04,23:43:06
166,485,1,8,Tardó un poco más de lo esperado,2025-01-11,11:56:27
167,789,2,4,Volvería a comprar,2024-08-12,19:05:31
168,1456,1,1,Entrega rápida y producto excelente,2024-03-26,22:12:53
169,1341,2,8,Todo perfecto,2025-06-19,14:12:30
170,993,1,7,Entrega rápida y producto excelente,2024-12-15,04:07:03
171,710,2,8,,2024-10-09,09:38:46
172,609,1,6,,2024-09-22,04:24:43
173,763,1,4,Tardó un poco más de lo esperado,2025-07-08,03:35:39
174,1356,1,1,Volvería a comprar,2025-06-12,15:59:14
175,1275,2,7,Entrega rápida y producto excelente,2024-06-02,21:10:41
176,490,2,9,Todo perfecto,2025-09-17,14:12:21
177,523,1,9,,2024-08-21,18:04:29
178,1234,2,9,Volvería a comprar,2024-07-07,10:21:13
179,1163,1,8,,2024-08-06,23:49:16
180,406,2,8,Atención muy buena,2025-10-05,14:51:06
181,835,1,2,Volvería a comprar,2025-07-10,06:40:59
182,320,1,8,Volvería a comprar,2025-05-07,01:37:10
183,414,1,7,Muy conforme con la calidad,2025-01-06,04:49:31
184,1463,1,9,,2024-03-27,09:33:42
185,928,2,10,,2024-07-26,05:16:35
186,643,1,9,Podría mejorar el empaque,2025-02-21,03:41:53
187,999,2,2,,2025-02-12,07:15:19
188,207,1,7,Muy conforme con la calidad,2025-06-29,11:26:26
189,641,1,0,Entrega rápida y producto excelente,2025-02-22,20:24:49
190,1110,1,1,Podría mejorar el empaque,2025-10-06,13:17:35
191,1062,1,8,Todo perfecto,2025-05-24,09:29:00
192,698,1,1,,2024-08-10,06:34:02
193,1236,1,10,Todo perfecto,2025-06-29,07:04:50
194,755,1,8,Volvería a comprar,2024-05-10,05:40:54
195,329,1,7,Podría mejorar el empaque,2024-07-31,07:13:57
196,800,1,7,Todo perfecto,2024-09-25,19:02:18
197,678,1,10,Todo perfecto,2024-01-30,12:03:01
198,1383,1,10,Tardó un poco más de lo esperado,2024-05-14,08:07:01
199,1251,1,10,Todo perfecto,2024-04-05,03:29:58
200,1252,1,7,Entrega rápida y producto excelente,2024-02-25,07:28:39
201,283,1,5,Todo perfecto,2025-09-19,08:42:55
202,907,2,2,Todo perfecto,2024-07-14,17:53:58
203,893,1,1,Entrega rápida y producto excelente,2024-12-25,14:16:39
204,413,2,8,Volvería a comprar,2025-04-28,12:51:40
205,788,2,10,Podría mejorar el empaque,2024-10-27,04:13:53
206,350,2,8,Todo perfecto,2025-08-31,17:23:35
207,758,2,5,Muy conforme con la calidad,2024-01-18,11:57:25
208,699,2,10,Muy conforme con la calidad,2025-07-26,13:52:22
209,689,1,9,Tardó un poco más de lo esperado,2024-02-06,02:22:22
210,348,1,1,Tardó un poco más de lo esperado,2024-04-24,04:18:58
211,974,1,9,Entrega rápida y producto excelente,2025-05-02,23:51:14
212,444,1,7,Muy conforme con la calidad,2025-07-28,08:36:03
213,96,1,9,Tardó un poco más de lo esperado,2025-09-06,12:06:06
214,674,1,7,Podría mejorar el empaque,2025-01-19,04:34:47
215,867,1,8,Muy conforme con la calidad,2024-11-10,21:54:58
216,686,1,7,,2025-07-26,03:48:53
217,640,1,10,Todo perfecto,2024-06-09,04:48:07
218,1191,1,9,Entrega rápida y producto excelente,2024-08-10,04:18:48
219,321,2,5,Volvería a comprar,2025-05-24,10:49:55
220,1045,1,3,Entrega rápida y producto excelente,2024-09-28,02:51:20
221,644,2,10,Atención muy buena,2024-01-13,16:30:11
222,514,2,8,Todo perfecto,2025-07-22,03:52:32
223,649,1,6,,2025-02-04,00:04:20
224,1294,2,5,Podría mejorar el empaque,2025-08-22,00:27:47
225,814,2,4,Volvería a comprar,2025-08-07,21:35:53
226,801,1,7,Entrega rápida y producto excelente,2024-12-06,19:00:31
227,351,1,5,Todo perfecto,2024-12-08,05:31:27
228,838,2,8,Todo perfecto,2024-10-06,12:33:46
229,78,1,6,Podría mejorar el empaque,2025-05-14,18:38:37
230,1338,1,2,Podría mejorar el empaque,2024-12-20,21:23:08
231,182,2,7,,2024-06-01,06:59:29
232,560,1,4,Atención muy buena,2024-11-22,19:15:20
233,1390,1,6,,2024-04-07,16:45:28
234,130,2,4,Tardó un poco más de lo esperado,2024-12-29,14:09:56
235,1143,2,2,Muy conforme con la calidad,2025-05-14,11:19:02
236,223,2,7,Atención muy buena,2025-04-18,06:39:34
237,622,1,2,Volvería a comprar,2024-02-16,09:22:11
238,1328,1,9,Muy conforme con la calidad,2024-06-09,07:31:20
239,1192,1,7,Tardó un poco más de lo esperado,2024-02-27,03:41:54
240,119,1,2,Tardó un poco más de lo esperado,2024-06-21,11:15:26
241,1115,1,8,Podría mejorar el empaque,2025-08-13,08:06:16
242,49,1,8,Todo perfecto,2024-04-21,20:33:27
243,1133,2,5,Muy conforme con la calidad,2025-09-03,15:53:22
244,193,1,9,Volvería a comprar,2025-07-16,13:29:06
245,539,1,6,Tardó un poco más de lo esperado,2024-01-28,15:36:48
246,200,1,7,Podría mejorar el empaque,2025-03-26,17:15:42
247,1084,1,10,Podría mejorar el empaque,2024-01-25,18:58:03
248,422,2,10,Entrega rápida y producto excelente,2024-05-06,19:36:29
249,348,2,6,Entrega rápida y producto excelente,2024-09-05,20:52:06
250,951,1,9,Volvería a comprar,2025-09-18,04:22:11
251,251,2,7,Tardó un poco más de lo esperado,2024-11-26,08:33:35
252,26,1,8,Atención muy buena,2025-01-22,14:00:56
253,1063,2,6,Volvería a comprar,2025-03-14,10:37:47
254,271,1,8,Podría mejorar el empaque,2024-02-02,07:25:07
255,567,1,9,Entrega rápida y producto excelente,2025-01-20,17:53:26
256,254,1,9,Atención muy buena,2025-07-23,13:34:36
257,66,2,6,Entrega rápida y producto excelente,2024-04-05,13:11:38
258,518,1,0,Entrega rápida y producto excelente,2025-01-05,17:33:23
259,603,1,7,Tardó un poco más de lo esperado,2024-06-26,09:14:20
260,321,1,4,,2024-01-30,11:44:33
261,1210,2,9,Tardó un poco más de lo esperado,2025-05-31,18:10:31
262,407,2,7,Atención muy buena,2025-02-09,15:21:46
263,996,2,9,Podría mejorar el empaque,2025-01-02,20:37:23
264,1192,2,8,Tardó un poco más de lo esperado,2024-11-03,14:07:34
265,221,1,1,Podría mejorar el empaque,2024-08-12,17:24:03
266,1189,1,6,Muy conforme con la calidad,2025-07-24,23:55:00
267,1230,1,9,Todo perfecto,2024-07-23,10:11:38
268,244,1,6,Podría mejorar el empaque,2024-12-08,19:33:05
269,416,1,6,Entrega rápida y producto excelente,2024-10-29,22:00:32
270,289,2,7,,2024-10-21,10:02:42
271,233,1,0,Todo perfecto,2024-09-07,23:46:39
272,300,1,7,Todo perfecto,2025-03-19,18:26:54
273,1066,1,5,Atención muy buena,2024-10-04,18:45:15
274,854,2,10,Atención muy buena,2024-02-07,11:26:10
275,1339,1,7,Tardó un poco más de lo esperado,2024-01-27,18:27:33
276,484,1,10,Todo perfecto,2024-12-27,00:49:20
277,948,1,6,Entrega rápida y producto excelente,2024-01-12,16:25:54
278,713,1,6,Tardó un poco más de lo esperado,2024-11-22,09:01:45
279,1466,1,9,Entrega rápida y producto excelente,2025-04-22,01:42:26
280,426,1,7,Atención muy buena,2025-06-16,01:31:53
281,1313,1,0,Todo perfecto,2025-03-04,15:40:25
282,995,1,4,Muy conforme con la calidad,2024-07-16,22:57:22
283,499,1,8,Tardó un poco más de lo esperado,2025-03-12,17:12:20
284,1408,2,7,Tardó un poco más de lo esperado,2025-03-07,13:54:08
285,498,1,8,Entrega rápida y producto excelente,2025-03-11,19:06:17
286,840,1,6,Muy conforme con la calidad,2024-11-24,19:10:47
287,92,1,9,Tardó un poco más de lo esperado,2025-02-10,07:29:10
288,1449,2,9,Tardó un poco más de lo esperado,2025-10-06,14:11:47
289,1129,2,7,Entrega rápida y producto excelente,2025-09-29,22:07:10
290,972,2,8,,2024-11-27,19:02:18
291,260,2,8,Volvería a comprar,2025-09-17,21:39:47
292,683,2,4,Tardó un poco más de lo esperado,2024-01-23,05:42:51
293,1042,1,2,Volvería a comprar,2025-04-27,06:06:59
294,1422,1,6,Muy conforme con la calidad,2024-03-07,13:04:16
295,1347,2,9,,2024-03-09,16:19:23
296,705,2,8,Muy conforme con la calidad,2025-02-18,21:20:29
297,1306,2,10,Entrega rápida y producto excelente,2025-06-20,06:52:08
298,327,2,0,Entrega rápida y producto excelente,2024-12-06,01:33:41
299,1119,1,5,Podría mejorar el empaque,2024-03-13,12:57:11
300,2,1,10,Muy conforme con la calidad,2025-07-20,15:58:08
301,988,1,8,Podría mejorar el empaque,2024-02-25,12:08:47
302,1485,1,8,Atención muy buena,2025-07-08,11:01:03
303,791,1,8,Volvería a comprar,2025-07-17,06:47:48
304,204,1,9,Podría mejorar el empaque,2025-04-29,12:01:36
305,22,2,8,Entrega rápida y producto excelente,2024-05-04,00:45:45
306,510,2,1,,2025-01-05,20:34:12
307,614,2,9,,2024-04-06,13:36:01
308,27,2,9,Podría mejorar el empaque,2024-12-22,14:50:59
309,1319,2,6,Todo perfecto,2025-07-21,03:34:38
310,845,1,9,Volvería a comprar,2024-11-17,01:33:45
311,783,2,5,Muy conforme con la calidad,2025-07-14,12:14:03
312,1350,1,9,,2025-08-26,18:08:04
313,773,1,7,Todo perfecto,2025-08-17,04:54:53
314,1457,1,4,Tardó un poco más de lo esperado,2024-10-27,01:01:22
315,1488,1,9,Atención muy buena,2024-10-13,16:39:39
316,1286,1,10,Muy conforme con la calidad,2024-09-04,12:14:01
317,1306,1,9,Tardó un poco más de lo esperado,2025-08-30,13:56:58
318,397,2,8,Podría mejorar el empaque,2024-02-09,21:16:04
319,341,1,4,Entrega rápida y producto excelente,2024-03-30,09:14:25
320,1475,2,9,Entrega rápida y producto excelente,2025-05-23,00:58:37
321,963,1,5,Entrega rápida y producto excelente,2024-02-12,10:05:49
322,423,1,9,Todo perfecto,2024-06-14,01:31:03
323,1176,2,9,Entrega rápida y producto excelente,2024-04-18,20:56:37
324,1128,2,8,Tardó un poco más de lo esperado,2024-04-10,04:28:29
325,56,1,8,Todo perfecto,2025-09-14,05:14:26
326,389,2,5,Atención muy buena,2024-04-24,06:04:28
327,598,2,9,Podría mejorar el empaque,2025-03-27,23:38:23
328,2,2,7,Todo perfecto,2024-06-02,12:00:35
329,118,2,8,Volvería a comprar,2025-03-04,06:11:26
330,835,1,10,,2025-06-18,02:07:23
331,554,1,7,Todo perfecto,2024-11-02,13:43:36
332,371,1,10,,2025-09-30,17:10:37
333,965,1,9,Volvería a comprar,2025-06-09,17:39:53
334,687,2,6,Atención muy buena,2025-02-15,19:51:47
335,516,1,9,,2024-12-18,18:28:50
336,1295,2,8,Volvería a comprar,2025-05-06,05:04:25
337,660,1,4,Tardó un poco más de lo esperado,2024-09-04,23:59:05
338,838,2,8,,2025-10-05,16:30:15
339,447,2,8,Atención muy buena,2024-10-11,21:10:53
340,1187,2,4,Volvería a comprar,2024-03-14,13:07:31
341,1457,1,7,Entrega rápida y producto excelente,2025-07-01,22:15:09
342,16,1,7,Podría mejorar el empaque,2024-11-04,09:51:44
343,1421,1,0,Tardó un poco más de lo esperado,2024-06-20,14:29:54
344,861,1,9,Muy conforme con la calidad,2024-08-13,11:17:08
345,515,1,2,Todo perfecto,2024-10-08,06:24:47
346,280,1,10,Entrega rápida y producto excelente,2024-05-18,01:52:36
347,829,1,7,Podría mejorar el empaque,2024-09-08,07:35:57
348,1319,1,10,Entrega rápida y producto excelente,2025-07-21,07:27:52
349,682,1,10,Tardó un poco más de lo esperado,2025-07-03,19:30:51
350,649,1,7,Entrega rápida y producto excelente,2025-09-18,21:46:37
351,1041,1,8,Todo perfecto,2024-08-03,22:57:18
352,559,2,9,Tardó un poco más de lo esperado,2024-10-20,10:29:55
353,1187,2,9,Muy conforme con la calidad,2025-07-14,19:31:33
354,786,1,6,Todo perfecto,2025-04-09,11:40:03
355,1104,1,6,Todo perfecto,2025-02-23,05:35:01
356,505,2,4,Volvería a comprar,2025-07-30,02:43:33
357,436,1,0,Atención muy buena,2024-11-13,15:27:07
358,366,1,5,Atención muy buena,2025-08-17,16:44:56
359,829,2,8,Tardó un poco más de lo esperado,2024-05-17,10:00:31
360,570,1,5,Atención muy buena,2024-04-11,06:42:29
361,573,2,10,Entrega rápida y producto excelente,2024-04-13,13:46:37
362,63,1,8,Todo perfecto,2024-04-13,23:51:40
363,140,1,10,Muy conforme con la calidad,2025-05-03,03:08:57
364,650,2,9,Volvería a comprar,2024-03-07,12:17:06
365,558,1,7,Volvería a comprar,2024-05-29,09:44:37
366,498,2,9,,2024-05-18,00:10:14
367,1337,2,10,Podría mejorar el empaque,2024-05-27,15:06:16
368,192,1,9,Volvería a comprar,2025-04-06,06:02:54
369,523,1,1,Tardó un poco más de lo esperado,2024-10-07,15:22:24
370,1009,1,5,Entrega rápida y producto excelente,2025-05-06,14:30:44
371,1079,1,8,Atención muy buena,2025-03-10,21:56:33
372,809,1,9,Podría mejorar el empaque,2025-05-30,16:31:12
373,332,1,8,Atención muy buena,2024-02-05,15:14:36
374,397,1,8,Tardó un poco más de lo esperado,2024-11-10,09:06:51
375,950,2,8,Tardó un poco más de lo esperado,2024-02-12,19:29:29
376,950,1,10,Todo perfecto,2024-12-27,07:39:39
377,1071,1,7,Tardó un poco más de lo esperado,2024-03-10,15:27:59
378,27,1,5,Atención muy buena,2024-08-10,15:00:09
379,1063,1,5,Muy conforme con la calidad,2024-05-25,14:47:01
380,930,1,10,Atención muy buena,2024-08-09,06:45:53
381,1435,2,1,Podría mejorar el empaque,2024-11-14,03:09:21
382,258,2,10,Atención muy buena,2024-04-08,15:25:23
383,847,1,4,Volvería a comprar,2024-02-11,14:11:42
384,921,2,10,Muy conforme con la calidad,2024-09-01,08:42:48
385,1231,1,7,Tardó un poco más de lo esperado,2025-01-11,08:34:53
386,292,1,10,Podría mejorar el empaque,2025-05-26,13:14:53
387,325,2,3,Volvería a comprar,2024-10-19,19:15:44
388,921,2,3,Atención muy buena,2025-03-11,05:25:38
389,248,1,2,,2025-05-24,10:15:38
390,754,1,8,,2024-08-11,22:25:54
391,708,1,9,,2024-04-22,05:36:10
392,48,1,6,Podría mejorar el empaque,2025-05-05,20:20:04
393,786,2,5,Atención muy buena,2024-05-05,11:43:38
394,382,1,4,,2024-06-19,08:24:55
395,895,1,6,Tardó un poco más de lo esperado,2025-02-14,13:53:26
396,821,1,7,Entrega rápida y producto excelente,2025-02-11,12:31:51
397,1032,1,9,Todo perfecto,2024-03-15,03:58:38
398,1262,1,1,Todo perfecto,2025-05-10,13:40:09
399,153,1,9,Muy conforme con la calidad,2024-08-21,05:06:57
400,816,1,1,Todo perfecto,2025-08-04,08:56:25
401,237,1,7,Todo perfecto,2024-02-07,18:17:19
402,589,2,10,Podría mejorar el empaque,2024-03-31,16:15:16
403,249,2,6,Atención muy buena,2025-08-14,00:50:22
404,1130,2,2,Volvería a comprar,2024-12-14,23:38:05
405,455,1,3,Volvería a comprar,2025-06-23,15:32:22
406,1306,1,0,Podría mejorar el empaque,2025-03-23,14:06:40
407,1359,1,9,Atención muy buena,2024-11-27,17:42:26
408,696,1,7,Volvería a comprar,2024-09-18,23:36:33
409,867,1,7,Todo perfecto,2024-09-06,13:25:59
410,690,1,10,Podría mejorar el empaque,2024-11-01,22:51:39
411,14,1,7,Volvería a comprar,2025-03-16,23:22:31
412,259,2,2,,2024-12-12,15:04:04
413,334,1,3,Todo perfecto,2024-01-23,14:46:59
414,574,1,9,Todo perfecto,2024-07-21,02:53:44
415,716,1,10,Volvería a comprar,2024-05-30,12:30:57
416,204,2,8,Todo perfecto,2024-12-16,05:28:42
417,624,2,10,Volvería a comprar,2025-06-20,21:21:38
418,535,1,9,Volvería a comprar,2024-08-19,21:17:35
419,522,1,7,Entrega rápida y producto excelente,2024-08-10,05:31:51
420,589,1,9,Tardó un poco más de lo esperado,2025-04-15,10:21:44
421,1485,1,9,Muy conforme con la calidad,2025-01-12,08:48:59
422,544,1,9,Volvería a comprar,2024-08-24,13:39:39
423,253,1,9,Atención muy buena,2025-01-04,19:48:25
424,520,1,8,Podría mejorar el empaque,2024-07-08,22:43:21
425,1339,1,8,Volvería a comprar,2025-02-16,22:04:20
426,800,1,10,Tardó un poco más de lo esperado,2024-05-10,02:04:28
427,782,2,9,Entrega rápida y producto excelente,2024-07-03,17:44:38
428,488,2,3,Tardó un poco más de lo esperado,2025-08-31,00:49:08
429,1074,1,6,Todo perfecto,2025-02-12,09:10:12
430,789,2,9,Muy conforme con la calidad,2024-12-26,22:27:44
431,951,1,3,Tardó un poco más de lo esperado,2025-06-10,08:35:10
432,1210,1,8,,2025-04-06,21:49:25
433,977,2,3,Volvería a comprar,2025-04-24,13:15:22
434,489,2,8,Tardó un poco más de lo esperado,2025-08-25,15:59:07
435,1192,2,9,Entrega rápida y producto excelente,2024-06-09,22:10:48
436,1461,2,5,Volvería a comprar,2024-10-11,10:47:13
437,28,1,6,Volvería a comprar,2025-07-14,13:59:10
438,459,2,9,,2024-07-14,02:59:21
439,756,1,2,Entrega rápida y producto excelente,2024-05-10,19:36:43
440,1495,1,8,Podría mejorar el empaque,2024-01-22,09:35:45
441,584,1,7,Todo perfecto,2024-03-07,10:30:38
442,703,1,2,Atención muy buena,2025-10-05,19:26:03
443,1309,2,7,Atención muy buena,2024-01-21,05:12:12
444,323,2,7,Muy conforme con la calidad,2025-06-01,03:50:23
445,90,1,8,Muy conforme con la calidad,2025-08-24,15:48:52
